,match_id,season,venue,innings,batting_team,bowling_team,runs
932,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
933,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
934,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
935,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
936,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
937,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
938,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
939,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
940,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
941,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
942,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
943,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
944,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
945,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
946,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
947,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
948,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
949,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
950,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
951,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
952,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
953,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
954,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
955,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,2.0
956,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
957,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
958,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
959,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
960,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
961,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
962,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
963,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,6.0
964,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
965,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
966,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
967,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
968,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
969,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
970,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
971,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
972,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
973,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
974,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
975,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
976,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
977,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
978,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
979,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
980,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
981,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,2.0
982,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
983,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
984,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
985,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
986,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
987,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
988,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
989,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
990,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
991,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
992,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
993,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
994,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
995,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
996,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,4.0
997,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,1.0
998,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
999,335985,2007/08,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,0.0
