,city,date,venue,team1,team2,winner,address,location
0,Hyderabad,4/5/2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
1,Pune,4/6/2017,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
2,Rajkot,4/7/2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,"Saurashtra Cricket Association Stadium, Stadium Internal Road, Paddhari Taluka, Rajkot, Gujarat, India","(22.362785549999998, 70.71008439911074)"
3,Indore,4/8/2017,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,"Holkar Cricket Stadium, Indore, Indore Tahsil, Indore, Madhya Pradesh, India","(22.72425115, 75.87967029005587)"
4,Bangalore,4/8/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
5,Hyderabad,4/9/2017,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
6,Mumbai,4/9/2017,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
7,Indore,4/10/2017,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"Holkar Cricket Stadium, Indore, Indore Tahsil, Indore, Madhya Pradesh, India","(22.72425115, 75.87967029005587)"
8,Pune,4/11/2017,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
9,Mumbai,4/12/2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
10,Kolkata,4/13/2017,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
11,Bangalore,4/14/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
12,Rajkot,4/14/2017,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,"Saurashtra Cricket Association Stadium, Stadium Internal Road, Paddhari Taluka, Rajkot, Gujarat, India","(22.362785549999998, 70.71008439911074)"
13,Kolkata,4/15/2017,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
14,Delhi,4/15/2017,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
15,Mumbai,4/16/2017,Wankhede Stadium,Gujarat Lions,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
16,Bangalore,4/16/2017,M Chinnaswamy Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
17,Delhi,4/17/2017,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
18,Hyderabad,4/17/2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
19,Rajkot,4/18/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,"Saurashtra Cricket Association Stadium, Stadium Internal Road, Paddhari Taluka, Rajkot, Gujarat, India","(22.362785549999998, 70.71008439911074)"
20,Hyderabad,4/19/2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
21,Indore,4/20/2017,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,"Holkar Cricket Stadium, Indore, Indore Tahsil, Indore, Madhya Pradesh, India","(22.72425115, 75.87967029005587)"
22,Kolkata,4/21/2017,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
23,Mumbai,4/22/2017,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
24,Pune,4/22/2017,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
25,Rajkot,4/23/2017,Saurashtra Cricket Association Stadium,Kings XI Punjab,Gujarat Lions,Kings XI Punjab,"Saurashtra Cricket Association Stadium, Stadium Internal Road, Paddhari Taluka, Rajkot, Gujarat, India","(22.362785549999998, 70.71008439911074)"
26,Kolkata,4/23/2017,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
27,Mumbai,4/24/2017,Wankhede Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
28,Pune,4/26/2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
29,Bangalore,4/27/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
30,Kolkata,4/28/2017,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
31,Chandigarh,4/28/2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
32,Pune,4/29/2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
33,Rajkot,4/29/2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Mumbai Indians,"Saurashtra Cricket Association Stadium, Stadium Internal Road, Paddhari Taluka, Rajkot, Gujarat, India","(22.362785549999998, 70.71008439911074)"
34,Chandigarh,4/30/2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
35,Hyderabad,4/30/2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
36,Mumbai,5/1/2017,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
37,Pune,5/1/2017,Maharashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
38,Delhi,5/2/2017,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
39,Kolkata,5/3/2017,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
40,Delhi,5/4/2017,Feroz Shah Kotla,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
41,Bangalore,5/5/2017,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
42,Hyderabad,5/6/2017,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
43,Delhi,5/6/2017,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,Mumbai Indians,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
44,Bangalore,5/7/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
45,Chandigarh,5/7/2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
46,Hyderabad,5/8/2017,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
47,Chandigarh,5/9/2017,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
48,Kanpur,5/10/2017,Green Park,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,"Green Park, Piccadilly, St. James's, Mayfair, City of Westminster, London, Greater London, England, W1J 8HY, United Kingdom","(51.5066192, -0.1429113)"
49,Mumbai,5/11/2017,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
50,Delhi,5/12/2017,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
51,Kanpur,5/13/2017,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,"Green Park, Piccadilly, St. James's, Mayfair, City of Westminster, London, Greater London, England, W1J 8HY, United Kingdom","(51.5066192, -0.1429113)"
52,Kolkata,5/13/2017,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
53,Pune,5/14/2017,Maharashtra Cricket Association Stadium,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
54,Delhi,5/14/2017,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
55,Mumbai,5/16/2017,Wankhede Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
56,Bangalore,5/17/2017,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
57,Bangalore,5/19/2017,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
58,Hyderabad,5/21/2017,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
59,Bangalore,4/18/2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
60,Chandigarh,4/19/2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
61,Delhi,4/19/2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
62,Mumbai,4/20/2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
63,Kolkata,4/20/2008,Eden Gardens,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
64,Jaipur,4/21/2008,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
65,Hyderabad,4/22/2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
66,Chennai,4/23/2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
67,Hyderabad,4/24/2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
68,Chandigarh,4/25/2008,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
69,Bangalore,4/26/2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
70,Chennai,4/26/2008,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
71,Mumbai,4/27/2008,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
72,Chandigarh,4/27/2008,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
73,Bangalore,4/28/2008,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
74,Kolkata,4/29/2008,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
75,Delhi,4/30/2008,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
76,Hyderabad,5/1/2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
77,Jaipur,5/1/2008,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
78,Chennai,5/2/2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
79,Hyderabad,5/25/2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
80,Chandigarh,5/3/2008,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
81,Mumbai,5/4/2008,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Mumbai Indians,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
82,Jaipur,5/4/2008,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
83,Bangalore,5/5/2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
84,Chennai,5/6/2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
85,Mumbai,5/7/2008,Dr DY Patil Sports Academy,Rajasthan Royals,Mumbai Indians,Mumbai Indians,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
86,Delhi,5/8/2008,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
87,Kolkata,5/8/2008,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
88,Jaipur,5/9/2008,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
89,Bangalore,5/28/2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
90,Chennai,5/10/2008,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
91,Hyderabad,5/11/2008,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
92,Jaipur,5/11/2008,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
93,Chandigarh,5/12/2008,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
94,Kolkata,5/13/2008,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
